Ridership,Date,RidershipChange
7909547,2-Jan,0
7345194,2-Feb,-564353
7964285,2-Mar,619091
8270355,2-Apr,306070
8289133,2-May,18778
7763741,2-Jun,-525392
8115480,2-Jul,351739
8102483,2-Aug,-12997
7967666,2-Sep,-134817
8586941,2-Oct,619275
7426050,2-Nov,-1160891
7420142,2-Dec,-5908
7742974,3-Jan,322832
7203696,3-Feb,-539278
7824583,3-Mar,620887
7744429,3-Apr,-80154
7770298,3-May,25869
7686622,3-Jun,-83676
8183386,3-Jul,496764
8187127,3-Aug,3741
8322915,3-Sep,135788
8773115,3-Oct,450200
7559250,3-Nov,-1213865
7916215,3-Dec,356965
7580822,4-Jan,-335393
7475394,4-Feb,-105428
8574110,4-Mar,1098716
8332090,4-Apr,-242020
8224919,4-May,-107171
8416224,4-Jun,191305
8290098,4-Jul,-126126
8360745,4-Aug,70647
8599271,4-Sep,238526
8524930,4-Oct,-74341
8152569,4-Nov,-372361
8099384,4-Dec,-53185
7702994,5-Jan,-396390
7468182,5-Feb,-234812
8607197,5-Mar,1139015
8368549,5-Apr,-238648
8565848,5-May,197299
8556260,5-Jun,-9588
8166483,5-Jul,-389777
8931804,5-Aug,765321
9055094,5-Sep,123290
9150357,5-Oct,95263
8696359,5-Nov,-453998
8222205,5-Dec,-474154
8153875,6-Jan,-68330
7867174,6-Feb,-286701
8826982,6-Mar,959808
8254952,6-Apr,-572030
9199520,6-May,944568
9129312,6-Jun,-70208
8841429,6-Jul,-287883
9408203,6-Aug,566774
9164925,6-Sep,-243278
9657712,6-Oct,492787
8886575,6-Nov,-771137
8589717,6-Dec,-296858
8670049,7-Jan,80332
8096154,7-Feb,-573895
9482455,7-Mar,1386301
9038628,7-Apr,-443827
9836950,7-May,798322
9346900,7-Jun,-490050
9457565,7-Jul,110665
10003205,7-Aug,545640
9597672,7-Sep,-405533
10242240,7-Oct,644568
9547627,7-Nov,-694613
9124637,7-Dec,-422990
8949719,8-Jan,-174918
8975483,8-Feb,25764
9516160,8-Mar,540677
9892985,8-Apr,376825
9882353,8-May,-10632
10038037,8-Jun,155684
10391609,8-Jul,353572
10125927,8-Aug,-265682
10128639,8-Sep,2712
10616630,8-Oct,487991
9132590,8-Nov,-1484040
9521093,8-Dec,388503
8963546,9-Jan,-557547
8440692,9-Feb,-522854
9448208,9-Mar,1007516
9381910,9-Apr,-66298
9131064,9-May,-250846
9372670,9-Jun,241606
9238253,9-Jul,-134417
9034136,9-Aug,-204117
9615486,9-Sep,581350
10160860,9-Oct,545374
8842079,9-Nov,-1318781
8793299,9-Dec,-48780
8155524,10-Jan,-637775
8189423,10-Feb,33899
9251973,10-Mar,1062550
8972334,10-Apr,-279639
8896679,10-May,-75655
9095592,10-Jun,198913
9068608,10-Jul,-26984
9438760,10-Aug,370152
9446738,10-Sep,7978
9684379,10-Oct,237641
9161703,10-Nov,-522676
8913375,10-Dec,-248328
8728778,11-Jan,-184597
8441890,11-Feb,-286888
9555408,11-Mar,1113518
9346845,11-Apr,-208563
9532758,11-May,185913
9779786,11-Jun,247028
9493821,11-Jul,-285965
10198701,11-Aug,704880
9977902,11-Sep,-220799
10253767,11-Oct,275865
9511142,11-Nov,-742625
9504591,11-Dec,-6551
9592678,12-Jan,88087
9663403,12-Feb,70725
10063110,12-Mar,399707
9880761,12-Apr,-182349
10516638,12-May,635877
10208164,12-Jun,-308474
10252748,12-Jul,44584
10978493,12-Aug,725745
10347984,12-Sep,-630509
11975954,12-Oct,1627970
10225693,12-Nov,-1750261
9661444,12-Dec,-564249
10044582,13-Jan,383138
9720752,13-Feb,-323830
10677769,13-Mar,957017
10968542,13-Apr,290773
11107331,13-May,138789
10585204,13-Jun,-522127
9005234,13-Jul,-1579970
11271687,13-Aug,2266453
11062296,13-Sep,-209391
10007386,13-Oct,-1054910
10100407,13-Nov,93021
10196072,13-Dec,95665
10275255,14-Jan,79183
9708516,14-Feb,-566739
10834065,14-Mar,1125549
10993908,14-Apr,159843
11184320,14-May,190412
11145026,14-Jun,-39294
11529147,14-Jul,384121
11455046,14-Aug,-74101
11467457,14-Sep,12411
12556439,14-Oct,1088982
10338527,14-Nov,-2217912
10688033,14-Dec,349506
10565314,15-Jan,-122719
10136239,15-Feb,-429075
11563999,15-Mar,1427760
11468925,15-Apr,-95074
11041447,15-May,-427478
11849485,15-Jun,808038
11731661,15-Jul,-117824
11342101,15-Aug,-389560
11449941,15-Sep,107840
12202108,15-Oct,752167
10720752,15-Nov,-1481356
10915123,15-Dec,194371
10648753,16-Jan,-266370
11457041,16-Feb,808288
11744295,16-Mar,287254
11254160,16-Apr,-490135
11432356,16-May,178196
11728830,16-Jun,296474
10944760,16-Jul,-784070
11762450,16-Aug,817690
11311307,16-Sep,-451143
11577219,16-Oct,265912
10857637,16-Nov,-719582
10519461,16-Dec,-338176
10435125,17-Jan,-84336
10010250,17-Feb,-424875
11481857,17-Mar,1471607
10411343,17-Apr,-1070514
11204729,17-May,793386
11294073,17-Jun,89344
10636947,17-Jul,-657126
11550812,17-Aug,913865
10558083,17-Sep,-992729
11407728,17-Oct,849645
10494253,17-Nov,-913475
9876526,17-Dec,-617727
10298004,18-Jan,421478
9765804,18-Feb,-532200
10882375,18-Mar,1116571
10544177,18-Apr,-338198
11084564,18-May,540387
10775239,18-Jun,-309325
10732983,18-Jul,-42256
11227125,18-Aug,494142
10395283,18-Sep,-831842
11638526,18-Oct,1243243
9723261,18-Nov,-1915265
9347390,18-Dec,-375871
10106508,19-Jan,759118
9455714,19-Feb,-650794
10470980,19-Mar,1015266
10779665,19-Apr,308685
10801006,19-May,21341
10427019,19-Jun,-373987
10625438,19-Jul,198419
10922850,19-Aug,297412
10505807,19-Sep,-417043
11320625,19-Oct,814818
9728758,19-Nov,-1591867
9309469,19-Dec,-419289
9925918,20-Jan,616449
9527569,20-Feb,-398349
4308934,20-Mar,-5218635
656653,20-Apr,-3652281
771234,20-May,114581
1095623,20-Jun,324389
1270292,20-Jul,174669
1241828,20-Aug,-28464
1291618,20-Sep,49790
1487371,20-Oct,195753
1331091,20-Nov,-156280
1216162,20-Dec,-114929
1114032,21-Jan,-102130
1185642,21-Feb,71610
1482805,21-Mar,297163
1597612,21-Apr,114807
1779074,21-May,181462
2127746,21-Jun,348672
2325676,21-Jul,197930
2589085,21-Aug,263409
3053656,21-Sep,464571
3185748,21-Oct,132092
2971042,21-Nov,-214706
2834892,21-Dec,-136150
2328579,22-Jan,-506313
2689680,22-Feb,361101
3560435,22-Mar,870755
3595725,22-Apr,35290
3780985,22-May,185260
3999328,22-Jun,218343
